"","Country","Clubs","Domestic","Foreign","Players","Continent","Population","longitude","latitude"
"1","Afghanistan",12,NA,NA,NA,"Asia",43844111,66.59216131,34.13402601
"2","Albania",22,65,35,869,"Europe",2771508,20.06108277,41.14165895
"3","Algeria",32,96,4,549,"Africa",47435312,2.655846472,28.35096974
"4","Andorra",NA,16,84,170,"Europe",82904,1.580224361,42.54859835
"5","Angola",16,94,6,550,"Africa",39040039,17.65176878,-12.16742406
"6","Argentina",118,88,12,3613,"South America",45851378,-64.53238504,-35.69727052
"7","Armenia",25,70,30,637,"Asia",2952365,45.05490832,40.17841274
"8","Australia",12,75,25,1597,"Oceania",26974026,134.0227717,-25.69733767
"9","Austria",28,63,37,814,"Europe",9113574,13.79777836,47.63185827
"10","Azerbaijan",20,64,36,630,"Asia",10397713,48.63459267,40.39205099
"11","Bangladesh",11,80,20,368,"Asia",175686899,90.43212563,23.67372867
"12","Belarus",32,91,9,1534,"Europe",8997603,27.96425205,53.46791375
"13","Belgium",32,59,41,1491,"Europe",11758603,4.675010155,50.61821389
"14","Belize",NA,85,15,260,"North America",422924,-88.6827351,17.24252477
"15","Bolivia",17,77,23,563,"South America",12581843,-64.45209598,-16.73124884
"16","Bosnia and Herzegovina",12,70,30,387,"Europe",3140095,17.83467241,44.14415356
"17","Botswana",16,95,5,400,"Africa",2562122,23.85779957,-22.236609
"18","Brazil",124,87,13,2123,"South America",212812405,-54.35520661,-11.52463042
"19","Bulgaria",34,70,30,711,"Europe",6714560,25.25173912,42.82043677
"20","Cambodia",20,90,10,614,"Asia",17847982,105.0397308,12.69918687
"21","Cameroon",35,NA,NA,NA,"Africa",29879337,12.94847414,6.294168487
"22","Canada",8,68,32,189,"North America",40126723,-98.41680518,57.55048004
"23","Chile",46,72,28,1350,"South America",19859921,-70.76863432,-37.82938283
"24","China",48,84,16,1586,"Asia",1416096094,104.6911386,38.07325481
"25","Colombia",36,91,9,1163,"South America",53425635,-72.64450662,4.187753877
"26","Costa Rica",30,90,10,818,"North America",5152950,-84.14673626,9.863467407
"27","Croatia",38,69,31,1188,"Europe",3848160,16.62576113,44.91192101
"28","Cyprus",14,39,61,511,"Europe",1370754,33.37534601,35.11700416
"29","Denmark",24,61,39,673,"Europe",6002507,9.378670542,56.00118818
"30","Ecuador",26,77,23,897,"South America",18289896,-78.46303261,-1.564272139
"31","Egypt",18,84,16,642,"Africa",118365995,30.24013544,26.60517034
"32","El Salvador",68,84,16,1700,"North America",6365503,-88.85911489,13.75804152
"33","Estonia",10,81,19,347,"Europe",1344232,25.91687025,58.64810831
"34","Ethiopia",16,91,9,517,"Africa",135472051,39.91490289,8.729389557
"35","Fiji",10,95,5,307,"Oceania",933154,177.9814461,-17.82247095
"36","Finland",12,69,31,311,"Europe",5623329,25.65738433,65.0157896
"37","France",38,40,60,2906,"Europe",66650804,2.194023663,46.64236822
"38","Gabon",24,NA,NA,NA,"Africa",2593130,11.8394109,-0.62844846
"39","Georgia",20,78,22,533,"Asia",3806671,43.37886653,42.17986278
"40","Germany",56,47,53,1562,"Europe",84075075,10.42617143,51.0830454
"41","Ghana",18,96,4,704,"Africa",35064272,-1.219233363,7.945304672
"42","Greece",39,70,30,1086,"Europe",9938844,23.11036894,39.42012262
"43","Guatemala",72,85,15,945,"North America",18687881,-90.31219349,15.82087852
"44","Haiti",NA,98,2,720,"North America",11906095,-72.8929138,18.88352049
"45","Honduras",10,88,12,328,"North America",11005850,-86.49251679,14.7403707
"46","Hungary",30,70,30,1055,"Europe",9632287,19.39620048,47.22527332
"47","Iceland",12,87,13,330,"Europe",398266,-19.05682967,65.1236092
"48","India",43,77,23,1506,"Asia",1463865525,81.17300409,23.58630057
"49","Indonesia",46,87,13,1431,"Asia",285721236,113.9653825,0.1559198
"50","Iran",16,99,1,1800,"Asia",92417681,54.237077,32.90602374
"51","Iraq",20,NA,NA,NA,"Asia",47020774,43.83252918,33.10507567
"52","Ireland",10,75,25,326,"Europe",5308039,-8.241128546,53.3048954
"53","Israel",30,74,26,818,"Asia",9517181,35.02792347,31.51354222
"54","Italy",100,34,66,3101,"Europe",59146260,12.76365717,42.98201128
"55","Jamaica",10,97,3,447,"North America",2837077,-77.30358895,18.12207889
"56","Japan",60,88,12,2126,"Asia",123103479,137.4693423,36.76738833
"57","Jordan",12,NA,NA,NA,"Asia",11520684,36.95728885,31.38706488
"58","Kazakhstan",50,85,15,1195,"Asia",20843754,66.37591935,47.6414652
"59","Kenya",18,NA,NA,NA,"Africa",57532493,37.95309411,0.689918232
"60","Kuwait",15,81,19,451,"Asia",5026078,47.56311109,29.28136097
"61","Latvia",10,64,36,200,"Europe",1853559,24.69367133,56.81385305
"62","Liechtenstein",NA,20,80,25,"Europe",40128,9.547674672,47.14627562
"63","Lithuania",10,57,43,288,"Europe",2830144,23.94602161,55.29437393
"64","Malaysia",14,85,15,782,"Asia",35977838,114.633303,3.671660856
"65","Mali",16,NA,NA,NA,"Africa",25198821,-4.346399842,17.16814621
"66","Malta",30,58,42,530,"Europe",545405,14.44192244,35.89052265
"67","Mauritius",10,NA,NA,NA,"Africa",1268280,57.56415671,-20.28142317
"68","Mexico",301,70,30,9464,"North America",131946900,-101.5539973,23.87436068
"69","Moldova",8,61,39,180,"Europe",2996106,28.39111187,47.07256746
"70","Mongolia",10,94,6,264,"Asia",3517100,103.398736,47.08644455
"71","Montenegro",10,85,15,296,"Europe",632729,19.29505087,42.73694835
"72","Morocco",32,NA,NA,NA,"Africa",38430770,-8.817212587,28.68759813
"73","Mozambique",12,85,15,360,"Africa",35631653,35.20857703,-17.52523031
"74","Myanmar",12,NA,NA,NA,"Asia",54850648,97.08892285,19.90122793
"75","Namibia",16,NA,NA,NA,"Africa",3092816,18.16451346,-21.90858163
"76","Netherlands",38,61,39,1150,"Europe",18346819,5.554136426,52.13405413
"77","Nicaragua",10,82,18,263,"North America",7007502,-85.01608833,12.89356663
"78","Norway",32,74,26,420,"Europe",5623071,16.67025927,64.97775883
"79","Oman",36,65,35,531,"Asia",5494691,55.84108812,20.72428332
"80","Palestine",12,95,5,207,"Asia",5589623,35.24251184,31.93081874
"81","Panama",12,88,12,396,"North America",4571189,-80.14428761,8.43953675
"82","Papua New Guinea",28,NA,NA,NA,"Oceania",10762817,144.8348943,-7.156912819
"83","Paraguay",12,82,18,662,"South America",7013078,-58.38906357,-23.42190559
"84","Peru",33,79,21,555,"South America",34576665,-74.11416197,-8.522717984
"85","Philippines",7,75,25,136,"Asia",116786962,121.8220894,15.58654225
"86","Poland",54,62,38,1710,"Europe",38140910,19.43573279,52.06848056
"87","Portugal",36,52,48,2074,"Europe",10411834,-7.933662184,39.67529215
"88","Puerto Rico",6,NA,NA,NA,"North America",3235289,-66.4942534,18.21622409
"89","Qatar",12,79,21,430,"Asia",3115889,51.19794919,25.31852849
"90","Romania",36,65,35,531,"Europe",18908650,25.0941582,45.82454894
"91","Russia",54,93,7,3633,"Asia",143997393,98.67049907,59.03943421
"92","Saudi Arabia",36,70,30,1505,"Asia",34556328,44.60095818,24.13603814
"93","Senegal",28,NA,NA,NA,"Africa",18931966,-14.61087537,14.22886149
"94","Serbia",32,80,20,972,"Europe",6689039,20.85677444,44.0267987
"95","Singapore",9,70,30,220,"Asia",5870750,103.8102576,1.352825189
"96","Slovakia",28,67,33,907,"Europe",5474881,19.58101536,48.69808391
"97","Slovenia",10,58,42,271,"Europe",2117072,14.8906369,46.1375923
"98","Somalia",16,NA,NA,NA,"Africa",19654739,45.40037867,6.524534573
"99","South Africa",16,83,17,541,"Africa",64747319,24.75252746,-28.55361931
"100","South Korea",25,87,13,780,"Asia",51667029,127.7622455,36.40238671
"101","Spain",42,59,41,8560,"Europe",47889958,-3.651625141,40.36500834
"102","Suriname",10,NA,NA,NA,"South America",639850,-55.85551431,4.098723596
"103","Sweden",32,NA,NA,NA,"Europe",10656633,17.06243199,62.73420986
"104","Switzerland",22,66,34,1140,"Europe",8967407,8.286928795,46.73678129
"105","Syria",12,NA,NA,NA,"Asia",25620427,38.51173231,35.09751106
"106","Tajikistan",10,77,23,227,"Asia",10786734,70.94215281,38.56933138
"107","Tanzania",16,NA,NA,NA,"Africa",70545865,34.81832206,-6.35579444
"108","Thailand",110,75,25,1338,"Asia",71619863,101.0867512,13.66222785
"109","Tunisia",40,NA,NA,NA,"Africa",12348573,9.655875517,34.0863618
"110","Turkey",76,91,9,3917,"Asia",87685426,35.56886764,38.93207363
"111","Turkmenistan",8,NA,NA,NA,"Asia",7618847,58.45773576,39.06069118
"112","Uganda",31,96,4,991,"Africa",51384894,32.34371768,1.282172922
"113","Ukraine",42,87,13,1288,"Europe",38980376,31.27377208,48.65753252
"114","United Arab Emirates",14,68,32,530,"Asia",11346000,54.27920526,24.18250292
"115","United Kingdom",92,34,66,5582,"Europe",69551332,-2.852943909,53.97844735
"116","United States",103,49,51,2791,"North America",347275807,-96.33161661,38.82080892
"117","Uruguay",30,90,10,516,"South America",3384688,-56.01919523,-32.78195044
"118","Uzbekistan",25,83,17,611,"Asia",37053428,63.85482976,41.48790652
"119","Venezuela",31,88,12,505,"South America",28516896,-66.36492136,7.148324761
"120","Vietnam",24,88,12,770,"Asia",101598527,105.9133883,16.51734717
"121","Zambia",18,NA,NA,NA,"Africa",21913874,27.75521363,-13.16283295
"122","Zimbabwe",18,NA,NA,NA,"Africa",16950795,29.71782964,-18.92700122
